ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-11-30,144.20680977929698,138.8517819824123,148.32306608052735,144.20680977929698,144.20680977929698,-0.3280413403856342,-0.3280413403856342,-0.3280413403856342,-0.3280413403856342,-0.3280413403856342,-0.3280413403856342,0.0,0.0,0.0,143.87876843891135
2023-12-01,144.5012960567641,140.35951629431582,149.8856495103504,144.5012960567641,144.5012960567641,0.48940226060643466,0.48940226060643466,0.48940226060643466,0.48940226060643466,0.48940226060643466,0.48940226060643466,0.0,0.0,0.0,144.99069831737052
2023-12-04,145.3841807432675,140.95173439598585,150.4550577228009,145.3841807432675,145.3841807432675,0.11909043811222929,0.11909043811222929,0.11909043811222929,0.11909043811222929,0.11909043811222929,0.11909043811222929,0.0,0.0,0.0,145.50327118137974
2023-12-05,145.67847563876867,140.0162610806249,149.77030118883286,145.67847563876867,145.67847563876867,-0.36397982474504575,-0.36397982474504575,-0.36397982474504575,-0.36397982474504575,-0.36397982474504575,-0.36397982474504575,0.0,0.0,0.0,145.31449581402362
2023-12-06,145.97277053426978,140.74923585285237,150.5830715893096,145.97277053426978,145.97277053426978,-0.541733502589371,-0.541733502589371,-0.541733502589371,-0.541733502589371,-0.541733502589371,-0.541733502589371,0.0,0.0,0.0,145.4310370316804
2023-12-07,146.26706542977095,140.75360072431806,150.78130318749436,146.26706542977095,146.26706542977095,-0.32804134038540345,-0.32804134038540345,-0.32804134038540345,-0.32804134038540345,-0.32804134038540345,-0.32804134038540345,0.0,0.0,0.0,145.93902408938555
2023-12-08,146.5613603252721,142.5082732415569,151.84844036418036,146.5613603252721,146.5613603252721,0.4894022606066408,0.4894022606066408,0.4894022606066408,0.4894022606066408,0.4894022606066408,0.4894022606066408,0.0,0.0,0.0,147.05076258587874
2023-12-11,147.44424501177554,142.7787895232307,152.25273881595737,147.44424501177554,147.44424501177554,0.11909043811135901,0.11909043811135901,0.11909043811135901,0.11909043811135901,0.11909043811135901,0.11909043811135901,0.0,0.0,0.0,147.5633354498869
2023-12-12,147.73853990727665,142.13481645855356,152.21817917296045,147.73853990727665,147.73853990727665,-0.36397982474266116,-0.36397982474266116,-0.36397982474266116,-0.36397982474266116,-0.36397982474266116,-0.36397982474266116,0.0,0.0,0.0,147.37456008253397
2023-12-13,148.0328348027778,142.5899774533167,152.23023365789973,148.0328348027778,148.0328348027778,-0.5417335025892153,-0.5417335025892153,-0.5417335025892153,-0.5417335025892153,-0.5417335025892153,-0.5417335025892153,0.0,0.0,0.0,147.4911013001886
2023-12-14,148.32712969785211,143.24848949836922,152.95494319560063,148.32712969785211,148.32712969785211,-0.32804134038472754,-0.32804134038472754,-0.32804134038472754,-0.32804134038472754,-0.32804134038472754,-0.32804134038472754,0.0,0.0,0.0,147.9990883574674
2023-12-15,148.62142459292645,144.4943023573796,154.11153946890332,148.62142459292645,148.62142459292645,0.4894022606070155,0.4894022606070155,0.4894022606070155,0.4894022606070155,0.4894022606070155,0.4894022606070155,0.0,0.0,0.0,149.11082685353347
2023-12-18,149.50430927814938,144.68873366607738,154.27915622871208,149.50430927814938,149.50430927814938,0.11909043811224558,0.11909043811224558,0.11909043811224558,0.11909043811224558,0.11909043811224558,0.11909043811224558,0.0,0.0,0.0,149.62339971626162
2023-12-19,149.79860417322368,144.4620434706484,154.2674675775041,149.79860417322368,149.79860417322368,-0.3639798247440389,-0.3639798247440389,-0.3639798247440389,-0.3639798247440389,-0.3639798247440389,-0.3639798247440389,0.0,0.0,0.0,149.43462434847964
2023-12-20,150.092899068298,144.62391598606888,154.27834883418942,150.092899068298,150.092899068298,-0.541733502589629,-0.541733502589629,-0.541733502589629,-0.541733502589629,-0.541733502589629,-0.541733502589629,0.0,0.0,0.0,149.55116556570837
2023-12-21,150.3871939633723,145.35671404720503,154.6948039098821,150.3871939633723,150.3871939633723,-0.3280413403842742,-0.3280413403842742,-0.3280413403842742,-0.3280413403842742,-0.3280413403842742,-0.3280413403842742,0.0,0.0,0.0,150.05915262298805
2023-12-22,150.6814888584466,146.25798995775398,156.07884154775633,150.6814888584466,150.6814888584466,0.48940226060738995,0.48940226060738995,0.48940226060738995,0.48940226060738995,0.48940226060738995,0.48940226060738995,0.0,0.0,0.0,151.170891119054
2023-12-26,151.85866843874388,146.61729067546247,156.5028298716167,151.85866843874388,151.85866843874388,-0.36397982474380963,-0.36397982474380963,-0.36397982474380963,-0.36397982474380963,-0.36397982474380963,-0.36397982474380963,0.0,0.0,0.0,151.49468861400007
2023-12-27,152.15296337188798,146.9427959495805,156.22161461117278,152.15296337188798,152.15296337188798,-0.5417335025894735,-0.5417335025894735,-0.5417335025894735,-0.5417335025894735,-0.5417335025894735,-0.5417335025894735,0.0,0.0,0.0,151.6112298692985
2023-12-28,152.44725830503205,147.18790233926296,156.95459413666828,152.44725830503205,152.44725830503205,-0.3280413403865967,-0.3280413403865967,-0.3280413403865967,-0.3280413403865967,-0.3280413403865967,-0.3280413403865967,0.0,0.0,0.0,152.11921696464546
2023-12-29,152.74155323817615,148.42776745365225,158.0079112152811,152.74155323817615,152.74155323817615,0.48940226060742803,0.48940226060742803,0.48940226060742803,0.48940226060742803,0.48940226060742803,0.48940226060742803,0.0,0.0,0.0,153.23095549878357
2024-01-02,153.9187329707526,148.61095151795348,158.32823695328435,153.9187329707526,153.9187329707526,-0.3639798247422286,-0.3639798247422286,-0.3639798247422286,-0.3639798247422286,-0.3639798247422286,-0.3639798247422286,0.0,0.0,0.0,153.55475314601037
2024-01-03,154.21302790389666,148.7941990807879,158.870865600959,154.21302790389666,154.21302790389666,-0.5417335025898873,-0.5417335025898873,-0.5417335025898873,-0.5417335025898873,-0.5417335025898873,-0.5417335025898873,0.0,0.0,0.0,153.67129440130677
2024-01-04,154.50732283704076,149.21291522562663,159.288598253301,154.50732283704076,154.50732283704076,-0.3280413403861433,-0.3280413403861433,-0.3280413403861433,-0.3280413403861433,-0.3280413403861433,-0.3280413403861433,0.0,0.0,0.0,154.17928149665462
2024-01-05,154.8016177701849,150.1934717825562,160.00733569297168,154.8016177701849,154.8016177701849,0.489402260606119,0.489402260606119,0.489402260606119,0.489402260606119,0.489402260606119,0.489402260606119,0.0,0.0,0.0,155.291020030791
2024-01-08,155.6845025696172,150.76796486062167,160.6697115636842,155.6845025696172,155.6845025696172,0.119090438112448,0.119090438112448,0.119090438112448,0.119090438112448,0.119090438112448,0.119090438112448,0.0,0.0,0.0,155.80359300772963
